id,term,translation,example_sentence,hint,topic,language
73,baiku,мотоцикл,Baiku ga hayai.,двигатель на колёсах,TRANSPORT,JP
74,fune,лодка,Fune ni noru.,водный транспорт,TRANSPORT,JP
75,ship,корабль,Ship ga deru.,большое судно,TRANSPORT,JP
76,takushī,такси,Takushī o yobu.,платный транспорт,TRANSPORT,JP
77,toramu,трамвай,Toramu ni noru.,городской транспорт,TRANSPORT,JP
78,chikatetsu,метро,Chikatetsu ga hayai.,подземный поезд,TRANSPORT,JP
79,kamion,грузовик,Kamion ga hashiru.,перевозит грузы,TRANSPORT,JP
80,sukūtā,скутер,Sukūtā ni noru.,лёгкий транспорт,TRANSPORT,JP
81,herikoputā,вертолёт,Herikoputā ga tobu.,летает вертикально,TRANSPORT,JP
82,fuerī,паром,Fuerī ni noru.,перевозит по воде,TRANSPORT,JP
83,jidōsha,автомобиль,Jidōsha o unten suru.,моторное средство,TRANSPORT,JP
84,gakkō,школа,Gakkō e ikimasu.,место учёбы,PLACES,JP
85,byōin,больница,Byōin ni ikimasu.,лечат людей,PLACES,JP
86,kōen,парк,Kōen de asobu.,место отдыха,PLACES,JP
87,resutoran,ресторан,Resutoran de taberu.,место для еды,PLACES,JP
88,sūpā,супермаркет,Sūpā e iku.,большой магазин,PLACES,JP
89,kūkō,аэропорт,Kūkō ni tsuku.,для самолётов,PLACES,JP
90,eki,вокзал,Eki de au.,станция поездов,PLACES,JP
91,toshokan,библиотека,Toshokan de yomu.,много книг,PLACES,JP
92,bijutsukan,музей,Bijutsukan o miru.,место искусства,PLACES,JP
93,umi,пляж,Umi e iku.,у моря,PLACES,JP
94,hoteru,отель,Hoteru ni tomaru.,место для ночёвки,PLACES,JP
95,eiga-kan,кинотеатр,Eiga-kan e iku.,смотрят фильмы,PLACES,JP
96,kyōkai,церковь,Kyōkai ni hairu.,религиозное здание,PLACES,JP
97,ichiba,рынок,Ichiba e iku.,место торговли,PLACES,JP
98,ginkō,банк,Ginkō ni iku.,финансовое учреждение,PLACES,JP
99,ofisu,офис,Ofisu de hataraku.,рабочее место,PLACES,JP
100,machi,город,Machi ga ookii.,населённый пункт,PLACES,JP
