id,term,translation,example_sentence,hint,topic,language
37,un téléphone,телефон,J’utilise le téléphone.,устройство связи,OBJECTS,FR
38,un ordinateur,компьютер,L’ordinateur est allumé.,электронное устройство,OBJECTS,FR
39,un livre,книга,Je lis un livre.,источник информации,OBJECTS,FR
40,un stylo,ручка,J’écris avec un stylo.,предмет для письма,OBJECTS,FR
41,une tasse,чашка,Je bois dans la tasse.,посуда,OBJECTS,FR
42,une clé,ключ,J’ouvre avec une clé.,открывает замок,OBJECTS,FR
43,un sac,сумка,Le sac est lourd.,для переноски вещей,OBJECTS,FR
44,une montre,часы,Je regarde ma montre.,показывает время,OBJECTS,FR
45,une lampe,лампа,La lampe éclaire.,источник света,OBJECTS,FR
46,une cuillère,ложка,Je prends une cuillère.,столовый прибор,OBJECTS,FR
47,une fourchette,вилка,La fourchette est propre.,прибор с зубцами,OBJECTS,FR
48,une assiette,тарелка,L’assiette est blanche.,для еды,OBJECTS,FR
49,une fenêtre,окно,La fenêtre est ouverte.,пропускает свет,OBJECTS,FR
50,une porte,дверь,La porte est fermée.,вход в помещение,OBJECTS,FR
51,une bouteille,бутылка,La bouteille est pleine.,ёмкость для жидкости,OBJECTS,FR
52,manger,есть,Je mange.,принимать пищу,VERBS,FR
53,boire,пить,Je bois de l’eau.,принимать жидкость,VERBS,FR
54,courir,бегать,Je cours vite.,двигаться быстро,VERBS,FR
55,marcher,ходить,Je marche.,двигаться шагами,VERBS,FR
56,dormir,спать,Je dors bien.,отдых организма,VERBS,FR
57,lire,читать,Je lis.,воспринимать текст,VERBS,FR
58,écrire,писать,J’écris une lettre.,создавать текст,VERBS,FR
59,parler,говорить,Je parle français.,использовать речь,VERBS,FR
60,écouter,слушать,J’écoute la musique.,воспринимать звук,VERBS,FR
61,penser,думать,Je pense beaucoup.,размышлять,VERBS,FR
62,jouer,играть,Les enfants jouent.,развлекаться,VERBS,FR
63,ouvrir,открывать,J’ouvre la porte.,делать доступным,VERBS,FR
64,fermer,закрывать,Je ferme la fenêtre.,делать закрытым,VERBS,FR
65,acheter,покупать,J’achète du pain.,приобретать,VERBS,FR
66,apprendre,учить,J’apprends le français.,получать знания,VERBS,FR
67,travailler,работать,Je travaille ici.,выполнять работу,VERBS,FR
68,une voiture,автомобиль,La voiture roule.,машина,TRANSPORT,FR
69,un bus,автобус,Je prends le bus.,общественный транспорт,TRANSPORT,FR
70,un train,поезд,Le train arrive.,рельсовый транспорт,TRANSPORT,FR
71,un avion,самолёт,L’avion décolle.,летательный аппарат,TRANSPORT,FR
72,un vélo,велосипед,Je roule à vélo.,двухколёсный транспорт,TRANSPORT,FR
73,une moto,мотоцикл,La moto est rapide.,мотор на двух колёсах,TRANSPORT,FR
74,un bateau,лодка,Le bateau flotte.,водный транспорт,TRANSPORT,FR
75,un navire,корабль,Le navire part.,большое судно,TRANSPORT,FR
76,un taxi,такси,Je prends un taxi.,платный транспорт,TRANSPORT,FR
77,un tramway,трамвай,Le tramway passe.,городской транспорт,TRANSPORT,FR
78,un métro,метро,Le métro est rapide.,подземный поезд,TRANSPORT,FR
79,un camion,грузовик,Le camion livre.,перевозит грузы,TRANSPORT,FR
80,une camionnette,фургон,La camionnette est blanche.,малый грузовик,TRANSPORT,FR
81,un scooter,скутер,Je conduis un scooter.,лёгкий транспорт,TRANSPORT,FR
82,un hélicoptère,вертолёт,L’hélicoptère vole.,винтокрылый аппарат,TRANSPORT,FR
83,un ferry,паром,Le ferry traverse.,судно для перевозки,TRANSPORT,FR
84,une école,школа,L’enfant va à l’école.,место обучения,PLACES,FR
85,un hôpital,больница,L’hôpital est grand.,лечебное учреждение,PLACES,FR
86,un parc,парк,Nous marchons dans le parc.,место для отдыха,PLACES,FR
87,un restaurant,ресторан,Le restaurant est ouvert.,заведение с едой,PLACES,FR
88,un supermarché,супермаркет,J’achète ici.,большой магазин,PLACES,FR
89,un aéroport,аэропорт,L’aéroport est loin.,место самолётов,PLACES,FR
90,une gare,вокзал,La gare est bondée.,станция поездов,PLACES,FR
91,une bibliothèque,библиотека,Je lis à la bibliothèque.,место книг,PLACES,FR
92,un musée,музей,Le musée est intéressant.,место искусства,PLACES,FR
93,une plage,пляж,La plage est belle.,у моря,PLACES,FR
94,un hôtel,отель,L’hôtel est cher.,место проживания,PLACES,FR
95,un cinéma,кинотеатр,Le cinéma est fermé.,смотрят фильмы,PLACES,FR
96,une église,церковь,L’église est ancienne.,религиозное здание,PLACES,FR
97,un marché,рынок,Le marché est animé.,место торговли,PLACES,FR
98,une banque,банк,Je vais à la banque.,финансовое учреждение,PLACES,FR
99,un bureau,офис,Le bureau est calme.,рабочее место,PLACES,FR
100,une ville,город,La ville est grande.,населённый пункт,PLACES,FR
