id,term,translation,example_sentence,hint,topic,language
63,jump,прыгать,The child can jump high.,"отталкиваться от поверхности, лететь вверх",VERBS,EN
64,think,думать,I need time to think.,процесс размышления и мышления,VERBS,EN
65,play,играть,Children play in the park.,заниматься развлечением или игрой,VERBS,EN
66,open,открывать,"Open the window, please.",делать доступным или незакрытым,VERBS,EN
67,close,закрывать,Close the book when you finish.,делать закрытым,VERBS,EN
68,buy,покупать,She will buy a new coat.,приобретать за деньги,VERBS,EN
69,car,автомобиль,He drove a car to work.,персональное средство передвижения на колёсах,TRANSPORT,EN
70,bus,автобус,They took the bus downtown.,общественный транспорт на дороге,TRANSPORT,EN
71,train,поезд,The train arrived on time.,железнодорожный транспорт,TRANSPORT,EN
72,plane,самолёт,The plane landed safely.,воздушное транспортное средство,TRANSPORT,EN
73,bicycle,велосипед,She rides a bicycle to the park.,двухколёсное транспортное средство без двигателя,TRANSPORT,EN
74,motorcycle,мотоцикл,He bought a new motorcycle.,двухколёсный моторизированный транспорт,TRANSPORT,EN
75,ship,корабль,The ship sailed into the harbor.,большое судно для моря,TRANSPORT,EN
76,boat,лодка,They rented a boat on the lake.,меньшее судно для воды,TRANSPORT,EN
77,tram,трамвай,The tram runs through the city center.,рельсовый городской транспорт,TRANSPORT,EN
78,subway,метро,We took the subway to the museum.,подземный городской поезд,TRANSPORT,EN
79,taxi,такси,He called a taxi home.,платный автомобильный сервис для пассажиров,TRANSPORT,EN
80,scooter,самокат/скутер,She rode a scooter along the path.,"легкий личный транспорт, иногда моторизированный",TRANSPORT,EN
81,van,фургон,They moved boxes with a van.,большой автомобиль для грузов или пассажиров,TRANSPORT,EN
82,truck,грузовик,The truck delivered the goods.,транспорт для перевозки тяжёлых грузов,TRANSPORT,EN
83,helicopter,вертолёт,A helicopter hovered above.,вертикально взлетающее летательное средство,TRANSPORT,EN
84,ferry,паром,The ferry carried people across the river.,судно для перевозки людей и машин по воде,TRANSPORT,EN
85,school,школа,Children go to school every weekday.,учебное заведение для обучения детей,PLACES,EN
86,hospital,больница,He visited the hospital yesterday.,медицинское учреждение для лечения,PLACES,EN
87,park,парк,They walked in the park.,зеленая зона для отдыха,PLACES,EN
88,restaurant,ресторан,We ate at a nice restaurant.,"место, где подают еду за плату",PLACES,EN
89,supermarket,супермаркет,Buy milk at the supermarket.,большой магазин с продуктами и товарами,PLACES,EN
90,airport,аэропорт,The airport was crowded.,место отправления и прилёта самолётов,PLACES,EN
91,station,станция,Meet me at the station.,место остановки поезда или автобуса,PLACES,EN
92,library,библиотека,She borrowed a book from the library.,хранилище книг и мест для чтения,PLACES,EN
93,museum,музей,They saw ancient artifacts at the museum.,место хранения и экспозиции предметов истории и искусства,PLACES,EN
94,beach,пляж,We spent the day at the beach.,песчаная или галечная зона у воды для отдыха,PLACES,EN
95,hotel,отель,They stayed in a hotel during the trip.,место для временного проживания,PLACES,EN
96,cinema,кинотеатр,Let's watch a new movie at the cinema.,место для просмотра фильмов,PLACES,EN
97,church,церковь,People gathered at the church.,религиозное здание для служб,PLACES,EN
98,market,рынок,Buy fresh vegetables at the market.,"место торговли, часто на открытом воздухе",PLACES,EN
99,bank,банк,She deposited money at the bank.,финансовое учреждение для операций с деньгами,PLACES,EN
100,office,офис,He works in a downtown office.,рабочее помещение для бизнеса или административных задач,PLACES,EN
